,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
15,Adamina,f,s,,,,,,,,,,,,,,
15,Adamina,f,pl,,,,,,,,,,,,,,
15,Adria,f,s,,,,,,,,,,,,,,
15,Adria,f,pl,,,,,,,,,,,,,,
15,Aida,f,s,,,,,,,,,,,,,,
15,Aida,f,pl,,,,,,,,,,,,,,
15,Alana,f,s,,,,,,,,,,,,,,
15,Alana,f,pl,,,,,,,,,,,,,,
15,Alberta,f,pl,,,,,,,,,,,,,,
15,Albertyna,f,s,,,,,,,,,,,,,,
15,Albertyna,f,pl,,,,,,,,,,,,,,
15,Albina,f,s,,,,,,,,,,,,,,
15,Albina,f,pl,,,,,,,,,,,,,,
15,Aleksa,f,s,,,,,,,,,,,,,,
15,Aleksa,f,pl,,,,,,,,,,,,,,
15,Alesja,f,s,,,,,,,,,,,,,,
15,Alesja,f,pl,,,,,,,,,,,,,,
15,Alia,f,s,,,,,,,,,,,,,,
15,Alia,f,pl,,,,,,,,,,,,,,
15,Alisa,f,s,,,,,,,,,,,,,,
15,Alisa,f,pl,,,,,,,,,,,,,,
15,Alojza,f,s,,,,,,,,,,,,,,
15,Alojza,f,pl,,,,,,,,,,,,,,
15,Amina,f,s,,,,,,,,,,,,,,
15,Amina,f,pl,,,,,,,,,,,,,,
15,Amira,f,s,,,,,,,,,,,,,,
15,Amira,f,pl,,,,,,,,,,,,,,
15,Angela,f,s,,,,,,,,,,,,,,
15,Angela,f,pl,,,,,,,,,,,,,,
15,Angelina,f,s,,,,,,,,,,,,,,
15,Angelina,f,pl,,,,,,,,,,,,,,
15,Anzelma,f,s,,,,,,,,,,,,,,
15,Anzelma,f,pl,,,,,,,,,,,,,,
15,Apollina,f,s,,,,,,,,,,,,,,
15,Apollina,f,pl,,,,,,,,,,,,,,
15,Arabella,f,s,,,,,,,,,,,,,,
15,Arabella,f,pl,,,,,,,,,,,,,,
15,Arletta,f,s,,,,,,,,,,,,,,
15,Arletta,f,pl,,,,,,,,,,,,,,
15,Arnolda,f,s,,,,,,,,,,,,,,
15,Arnolda,f,pl,,,,,,,,,,,,,,
15,Astryda,f,s,,,,,,,,,,,,,,
15,Astryda,f,pl,,,,,,,,,,,,,,
15,Augusta,f,s,,,,,,,,,,,,,,
15,Augusta,f,pl,,,,,,,,,,,,,,
15,Babeta,f,s,,,,,,,,,,,,,,
15,Babeta,f,pl,,,,,,,,,,,,,,
15,Bartłomieja,f,s,,,,,,,,,,,,,,
15,Bartłomieja,f,pl,,,,,,,,,,,,,,
15,Beatrycja,f,s,,,,,,,,,,,,,,
15,Beatrycja,f,pl,,,,,,,,,,,,,,
15,Beatryksa,f,s,,,,,,,,,,,,,,
15,Beatryksa,f,pl,,,,,,,,,,,,,,
15,Benedykta,f,s,,,,,,,,,,,,,,
15,Benedykta,f,pl,,,,,,,,,,,,,,
15,Beniamina,f,s,,,,,,,,,,,,,,
15,Beniamina,f,pl,,,,,,,,,,,,,,
15,Bernarda,f,s,,,,,,,,,,,,,,
15,Bernarda,f,pl,,,,,,,,,,,,,,
15,Berta,f,s,,,,,,,,,,,,,,
15,Berta,f,pl,,,,,,,,,,,,,,
15,Betina,f,s,,,,,,,,,,,,,,
15,Betina,f,pl,,,,,,,,,,,,,,
15,Blanka,f,s,,,,,,,,,,,,,,
15,Blanka,f,pl,,,,,,,,,,,,,,
15,Bogdana,f,s,,,,,,,,,,,,,,
15,Bogdana,f,pl,,,,,,,,,,,,,,
15,Bogna,f,s,,,,,,,,,,,,,,
15,Bogna,f,pl,,,,,,,,,,,,,,
15,Bogusława,f,s,,,,,,,,,,,,,,
15,Bogusława,f,pl,,,,,,,,,,,,,,
15,Bojana,f,s,,,,,,,,,,,,,,
15,Bojana,f,pl,,,,,,,,,,,,,,
15,Bolesława,f,s,,,,,,,,,,,,,,
