,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
0,Adamina,f,s,,,,,,,,,,,,,,
1,Adamina,f,pl,,,,,,,,,,,,,,
2,Adria,f,s,,,,,,,,,,,,,,
3,Adria,f,pl,,,,,,,,,,,,,,
4,Aida,f,s,,,,,,,,,,,,,,
5,Aida,f,pl,,,,,,,,,,,,,,
6,Alana,f,s,,,,,,,,,,,,,,
7,Alana,f,pl,,,,,,,,,,,,,,
8,Alberta,f,pl,,,,,,,,,,,,,,
9,Albertyna,f,s,,,,,,,,,,,,,,
10,Albertyna,f,pl,,,,,,,,,,,,,,
11,Albina,f,s,,,,,,,,,,,,,,
12,Albina,f,pl,,,,,,,,,,,,,,
13,Aleksa,f,s,,,,,,,,,,,,,,
14,Aleksa,f,pl,,,,,,,,,,,,,,
15,Alesja,f,s,,,,,,,,,,,,,,
16,Alesja,f,pl,,,,,,,,,,,,,,
17,Alia,f,s,,,,,,,,,,,,,,
18,Alia,f,pl,,,,,,,,,,,,,,
19,Alisa,f,s,,,,,,,,,,,,,,
20,Alisa,f,pl,,,,,,,,,,,,,,
21,Alojza,f,s,,,,,,,,,,,,,,
22,Alojza,f,pl,,,,,,,,,,,,,,
23,Amina,f,s,,,,,,,,,,,,,,
24,Amina,f,pl,,,,,,,,,,,,,,
25,Amira,f,s,,,,,,,,,,,,,,
26,Amira,f,pl,,,,,,,,,,,,,,
27,Angela,f,s,,,,,,,,,,,,,,
28,Angela,f,pl,,,,,,,,,,,,,,
29,Angelina,f,s,,,,,,,,,,,,,,
30,Angelina,f,pl,,,,,,,,,,,,,,
31,Anzelma,f,s,,,,,,,,,,,,,,
32,Anzelma,f,pl,,,,,,,,,,,,,,
33,Apollina,f,s,,,,,,,,,,,,,,
34,Apollina,f,pl,,,,,,,,,,,,,,
35,Arabella,f,s,,,,,,,,,,,,,,
36,Arabella,f,pl,,,,,,,,,,,,,,
37,Arletta,f,s,,,,,,,,,,,,,,
38,Arletta,f,pl,,,,,,,,,,,,,,
39,Arnolda,f,s,,,,,,,,,,,,,,
40,Arnolda,f,pl,,,,,,,,,,,,,,
41,Astryda,f,s,,,,,,,,,,,,,,
42,Astryda,f,pl,,,,,,,,,,,,,,
43,Augusta,f,s,,,,,,,,,,,,,,
44,Augusta,f,pl,,,,,,,,,,,,,,
45,Babeta,f,s,,,,,,,,,,,,,,
46,Babeta,f,pl,,,,,,,,,,,,,,
47,Bartłomieja,f,s,,,,,,,,,,,,,,
48,Bartłomieja,f,pl,,,,,,,,,,,,,,
49,Beatrycja,f,s,,,,,,,,,,,,,,
50,Beatrycja,f,pl,,,,,,,,,,,,,,
51,Beatryksa,f,s,,,,,,,,,,,,,,
52,Beatryksa,f,pl,,,,,,,,,,,,,,
53,Benedykta,f,s,,,,,,,,,,,,,,
54,Benedykta,f,pl,,,,,,,,,,,,,,
55,Beniamina,f,s,,,,,,,,,,,,,,
56,Beniamina,f,pl,,,,,,,,,,,,,,
57,Bernarda,f,s,,,,,,,,,,,,,,
58,Bernarda,f,pl,,,,,,,,,,,,,,
59,Berta,f,s,,,,,,,,,,,,,,
60,Berta,f,pl,,,,,,,,,,,,,,
61,Betina,f,s,,,,,,,,,,,,,,
62,Betina,f,pl,,,,,,,,,,,,,,
63,Blanka,f,s,,,,,,,,,,,,,,
64,Blanka,f,pl,,,,,,,,,,,,,,
65,Bogdana,f,s,,,,,,,,,,,,,,
66,Bogdana,f,pl,,,,,,,,,,,,,,
67,Bogna,f,s,,,,,,,,,,,,,,
68,Bogna,f,pl,,,,,,,,,,,,,,
69,Bogusława,f,s,,,,,,,,,,,,,,
70,Bogusława,f,pl,,,,,,,,,,,,,,
71,Bojana,f,s,,,,,,,,,,,,,,
72,Bojana,f,pl,,,,,,,,,,,,,,
73,Bolesława,f,s,,,,,,,,,,,,,,
74,Bolesława,f,pl,,,,,,,,,,,,,,
75,Bożysława,f,s,,,,,,,,,,,,,,
76,Bożysława,f,pl,,,,,,,,,,,,,,
77,Brenda,f,s,,,,,,,,,,,,,,
78,Brenda,f,pl,,,,,,,,,,,,,,
79,Bromira,f,s,,,,,,,,,,,,,,
80,Bromira,f,pl,,,,,,,,,,,,,,
81,Błażena,f,s,,,,,,,,,,,,,,
82,Błażena,f,pl,,,,,,,,,,,,,,
83,Celestia,f,s,,,,,,,,,,,,,,
84,Celestia,f,pl,,,,,,,,,,,,,,
85,Celestyna,f,s,,,,,,,,,,,,,,
86,Celestyna,f,pl,,,,,,,,,,,,,,
87,Cezaryna,f,s,,,,,,,,,,,,,,
88,Cezaryna,f,pl,,,,,,,,,,,,,,
89,Chociemira,f,s,,,,,,,,,,,,,,
90,Chociemira,f,pl,,,,,,,,,,,,,,
91,Chwalisława,f,s,,,,,,,,,,,,,,
92,Chwalisława,f,pl,,,,,,,,,,,,,,
93,Ciesława,f,s,,,,,,,,,,,,,,
94,Ciesława,f,pl,,,,,,,,,,,,,,
95,Cina,f,s,,,,,,,,,,,,,,
96,Cina,f,pl,,,,,,,,,,,,,,
97,Cinosława,f,s,,,,,,,,,,,,,,
98,Cinosława,f,pl,,,,,,,,,,,,,,
99,Dagna,f,s,,,,,,,,,,,,,,
100,Dagna,f,pl,,,,,,,,,,,,,,
101,Dajmira,f,s,,,,,,,,,,,,,,
102,Dajmira,f,pl,,,,,,,,,,,,,,
103,Dalia,f,s,,,,,,,,,,,,,,
104,Dalia,f,pl,,,,,,,,,,,,,,
105,Dalila,f,s,,,,,,,,,,,,,,
106,Dalila,f,pl,,,,,,,,,,,,,,
107,Dalmira,f,s,,,,,,,,,,,,,,
108,Dalmira,f,pl,,,,,,,,,,,,,,
109,Dargomira,f,s,,,,,,,,,,,,,,
110,Dargomira,f,pl,,,,,,,,,,,,,,
111,Dargosława,f,s,,,,,,,,,,,,,,
112,Dargosława,f,pl,,,,,,,,,,,,,,
113,Delia,f,s,,,,,,,,,,,,,,
114,Delia,f,pl,,,,,,,,,,,,,,
115,Delinda,f,s,,,,,,,,,,,,,,
116,Delinda,f,pl,,,,,,,,,,,,,,
117,Deresa,f,s,,,,,,,,,,,,,,
118,Deresa,f,pl,,,,,,,,,,,,,,
119,Desreta,f,s,,,,,,,,,,,,,,
120,Desreta,f,pl,,,,,,,,,,,,,,
121,Dilara,f,s,,,,,,,,,,,,,,
122,Dilara,f,pl,,,,,,,,,,,,,,
123,Dobiesława,f,s,,,,,,,,,,,,,,
124,Dobiesława,f,pl,,,,,,,,,,,,,,
125,Dobrochna,f,s,,,,,,,,,,,,,,
126,Dobrochna,f,pl,,,,,,,,,,,,,,
127,Domasława,f,s,,,,,,,,,,,,,,
128,Domasława,f,pl,,,,,,,,,,,,,,
129,Donata,f,s,,,,,,,,,,,,,,
130,Donata,f,pl,,,,,,,,,,,,,,
131,Dorosława,f,s,,,,,,,,,,,,,,
132,Dorosława,f,pl,,,,,,,,,,,,,,
133,Dyzma,f,s,,,,,,,,,,,,,,
134,Dyzma,f,pl,,,,,,,,,,,,,,
