,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
0,Ada,f,s,Ada,Ady,Adzie,Adę,Adą,Adzie,Ado,Ada,Ady,Adzie,Adę,Adą,Adzie,Ado
1,Ada,f,pl,Ady,Ad,Adom,Ady,Adami,Adach,Ady,Ady,Ad,Adom,Ady,Adami,Adach,Ady
2,Adela,f,s,Adela,Adeli,Adeli,Adelę,Adelą,Adeli,Adelu,Adela,Adeli,Adeli,Adelę,Adelą,Adeli,Adelu
3,Adela,f,pl,Adele,Adeli,Adelom,Adele,Adelami,Adelach,Adele,Adele,Adeli,Adelom,Adele,Adelami,Adelach,Adele
4,Adelajda,f,s,Adelajda,Adelajdy,Adelajdzie,Adelajdę,Adelajdą,Adelajdzie,Adelajdo,Adelajda,Adelajdy,Adelajdzie,Adelajdę,Adelajdą,Adelajdzie,Adelajdo
5,Adelajda,f,pl,Adelajdy,Adelajd,Adelajdom,Adelajdy,Adelajdami,Adelajdach,Adelajdy,Adelajdy,Adelajd,Adelajdom,Adelajdy,Adelajdami,Adelajdach,Adelajdy
6,Adriana,f,s,Adriana,Adriany,Adrianie,Adrianę,Adrianą,Adrianie,Adriano,Adriana,Adriany,Adrianie,Adrianę,Adrianą,Adrianie,Adriano
7,Adriana,f,pl,Adriany,Adrian,Adrianom,Adriany,Adrianami,Adrianach,Adriany,Adriany,Adrian,Adrianom,Adriany,Adrianami,Adrianach,Adriany
8,Adrianna,f,s,Adrianna,Adrianny,Adriannie,Adriannę,Adrianną,Adriannie,Adrianno,Adrianna,Adrianny,Adriannie,Adriannę,Adrianną,Adriannie,Adrianno
9,Adrianna,f,pl,Adrianny,Adriann,Adriannom,Adrianny,Adriannami,Adriannach,Adrianny,Adrianny,Adriann,Adriannom,Adrianny,Adriannami,Adriannach,Adrianny
10,Agata,f,s,Agata,Agaty,Agacie,Agatę,Agatą,Agacie,Agato,Agata,Agaty,Agacie,Agatę,Agatą,Agacie,Agato
11,Agata,f,pl,Agaty,Agat,Agatom,Agaty,Agatami,Agatach,Agaty,Agaty,Agat,Agatom,Agaty,Agatami,Agatach,Agaty
12,Agnieszka,f,s,Agnieszka,Agnieszki,Agnieszce,Agnieszkę,Agnieszką,Agnieszce,Agnieszko,Agnieszka,Agnieszki,Agnieszce,Agnieszkę,Agnieszką,Agnieszce,Agnieszko
13,Agnieszka,f,pl,Agnieszki,Agnieszek,Agnieszkom,Agnieszki,Agnieszkami,Agnieszkach,Agnieszki,Agnieszki,Agnieszek,Agnieszkom,Agnieszki,Agnieszkami,Agnieszkach,Agnieszki
14,Alberta,f,s,Alberta,Alberty,Albercie,Albertę,Albertą,Albercie,Alberto,Alberta,Alberty,Albercie,Albertę,Albertą,Albercie,Alberto
15,Alberta,f,pl,,,,,,,,,,,,,,
16,Aldona,f,s,Aldona,Aldony,Aldonie,Aldonę,Aldoną,Aldonie,Aldono,Aldona,Aldony,Aldonie,Aldonę,Aldoną,Aldonie,Aldono
17,Aldona,f,pl,Aldony,Aldon,Aldonom,Aldony,Aldonami,Aldonach,Aldony,Aldony,Aldon,Aldonom,Aldony,Aldonami,Aldonach,Aldony
18,Aleksandra,f,s,Aleksandra,Aleksandry,Aleksandrze,Aleksandrę,Aleksandrą,Aleksandrze,Aleksandro,Aleksandra,Aleksandry,Aleksandrze,Aleksandrę,Aleksandrą,Aleksandrze,Aleksandro
19,Aleksandra,f,pl,Aleksandry,Aleksander,Aleksandrom,Aleksandry,Aleksandrami,Aleksandrach,Aleksandry,Aleksandry,Aleksander,Aleksandrom,Aleksandry,Aleksandrami,Aleksandrach,Aleksandry
20,Aleksja,f,s,Aleksja,Aleksji,Aleksji,Aleksję,Aleksją,Aleksji,Aleksjo,Aleksja,Aleksji,Aleksji,Aleksję,Aleksją,Aleksji,Aleksjo
21,Aleksja,f,pl,Aleksje,Aleksji,Aleksjom,Aleksje,Aleksjami,Aleksjach,Aleksje,Aleksje,Aleksji,Aleksjom,Aleksje,Aleksjami,Aleksjach,Aleksje
22,Alfreda,f,s,Alfreda,Alfredy,Alfredzie,Alfredę,Alfredą,Alfredzie,Alfredo,Alfreda,Alfredy,Alfredzie,Alfredę,Alfredą,Alfredzie,Alfredo
23,Alfreda,f,pl,Alfredy,Alfred,Alfredom,Alfredy,Alfredami,Alfredach,Alfredy,Alfredy,Alfred,Alfredom,Alfredy,Alfredami,Alfredach,Alfredy
24,Alicja,f,s,Alicja,Alicji,Alicji,Alicję,Alicją,Alicji,Alicjo,Alicja,Alicji,Alicji,Alicję,Alicją,Alicji,Alicjo
25,Alicja,f,pl,Alicje,Alicji,Alicjom,Alicje,Alicjami,Alicjach,Alicje,Alicje,Alicji,Alicjom,Alicje,Alicjami,Alicjach,Alicje
26,Alina,f,s,Alina,Aliny,Alinie,Alinę,Aliną,Alinie,Alino,Alina,Aliny,Alinie,Alinę,Aliną,Alinie,Alino
27,Alina,f,pl,Aliny,Alin,Alinom,Aliny,Alinami,Alinach,Aliny,Aliny,Alin,Alinom,Aliny,Alinami,Alinach,Aliny
28,Amalia,f,s,Amalia,Amalii,Amalii,Amalię,Amalią,Amalii,Amalio,Amalia,Amalii,Amalii,Amalię,Amalią,Amalii,Amalio
29,Amalia,f,pl,Amalie,Amalii,Amaliom,Amalie,Amaliami,Amaliach,Amalie,Amalie,Amalii,Amaliom,Amalie,Amaliami,Amaliach,Amalie
30,Amanda,f,s,Amanda,Amandy,Amandzie,Amandę,Amandą,Amandzie,Amando,Amanda,Amandy,Amandzie,Amandę,Amandą,Amandzie,Amando
31,Amanda,f,pl,Amandy,Amand,Amandom,Amandy,Amandami,Amandach,Amandy,Amandy,Amand,Amandom,Amandy,Amandami,Amandach,Amandy
32,Amelia,f,s,Amelia,Amelii,Amelii,Amelię,Amelią,Amelii,Amelio,Amelia,Amelii,Amelii,Amelię,Amelią,Amelii,Amelio
33,Amelia,f,pl,Amelie,Amelii,Ameliom,Amelie,Ameliami,Ameliach,Amelie,Amelie,Amelii,Ameliom,Amelie,Ameliami,Ameliach,Amelie
34,Anastazja,f,s,Anastazja,Anastazji,Anastazji,Anastazję,Anastazją,Anastazji,Anastazjo,Anastazja,Anastazji,Anastazji,Anastazję,Anastazją,Anastazji,Anastazjo
35,Anastazja,f,pl,Anastazje,Anastazji,Anastazjom,Anastazje,Anastazjami,Anastazjach,Anastazje,Anastazje,Anastazji,Anastazjom,Anastazje,Anastazjami,Anastazjach,Anastazje
36,Anatolia,f,s,Anatolia,Anatolii,Anatolii,Anatolię,Anatolią,Anatolii,Anatolio,Anatolia,Anatolii,Anatolii,Anatolię,Anatolią,Anatolii,Anatolio
37,Anatolia,f,pl,Anatolie,Anatolii,Anatoliom,Anatolie,Anatoliami,Anatoliach,Anatolie,Anatolie,Anatolii,Anatoliom,Anatolie,Anatoliami,Anatoliach,Anatolie
38,Andrea,f,s,Andrea,Andrei,Andrei,Andreę,Andreą,Andrei,Andreo,Andrea,Andrei,Andrei,Andreę,Andreą,Andrei,Andreo
39,Andrea,f,pl,Andree,Andrei,Andreom,Andree,Andreami,Andreach,Andree,Andree,Andrei,Andreom,Andree,Andreami,Andreach,Andree
40,Andrzeja,f,s,Andrzeja,Andrzei,Andrzei,Andrzeję,Andrzeją,Andrzei,Andrzejo,Andrzeja,Andrzei,Andrzei,Andrzeję,Andrzeją,Andrzei,Andrzejo
41,Andrzeja,f,pl,Andrzeje,Andrzei,Andrzejom,Andrzeje,Andrzejami,Andrzejach,Andrzeje,Andrzeje,Andrzei,Andrzejom,Andrzeje,Andrzejami,Andrzejach,Andrzeje
