,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
0,Ada,f,s,Ada,Ady,Adzie,Adę,Adą,Adzie,Ado,Ada,Ady,Adzie,Adę,Adą,Adzie,Ado
1,Ada,f,pl,Ady,Ad,Adom,Ady,Adami,Adach,Ady,Ady,Ad,Adom,Ady,Adami,Adach,Ady
2,Adamina,f,s,Adamina,Adaminy,Adaminie,Adaminę,Adaminą,Adaminie,Adamino,Adamina,Adaminy,Adaminie,Adaminę,Adaminą,Adaminie,Adamino
3,Adela,f,s,Adela,Adeli,Adeli,Adelę,Adelą,Adeli,Adelu,Adela,Adeli,Adeli,Adelę,Adelą,Adeli,Adelu
4,Adela,f,pl,Adele,Adeli,Adelom,Adele,Adelami,Adelach,Adele,Adele,Adeli,Adelom,Adele,Adelami,Adelach,Adele
5,Adelajda,f,s,Adelajda,Adelajdy,Adelajdzie,Adelajdę,Adelajdą,Adelajdzie,Adelajdo,Adelajda,Adelajdy,Adelajdzie,Adelajdę,Adelajdą,Adelajdzie,Adelajdo
6,Adelajda,f,pl,Adelajdy,Adelajd,Adelajdom,Adelajdy,Adelajdami,Adelajdach,Adelajdy,Adelajdy,Adelajd,Adelajdom,Adelajdy,Adelajdami,Adelajdach,Adelajdy
7,Adria,f,s,Adria,Adrii,Adrii,Adrię,Adrią,Adri,Adrio,Adria,Adrii,Adrii,Adrię,Adrią,Adri,Adrio
8,Adriana,f,s,Adriana,Adriany,Adrianie,Adrianę,Adrianą,Adrianie,Adriano,Adriana,Adriany,Adrianie,Adrianę,Adrianą,Adrianie,Adriano
9,Adriana,f,pl,Adriany,Adrian,Adrianom,Adriany,Adrianami,Adrianach,Adriany,Adriany,Adrian,Adrianom,Adriany,Adrianami,Adrianach,Adriany
10,Adrianna,f,s,Adrianna,Adrianny,Adriannie,Adriannę,Adrianną,Adriannie,Adrianno,Adrianna,Adrianny,Adriannie,Adriannę,Adrianną,Adriannie,Adrianno
11,Adrianna,f,pl,Adrianny,Adriann,Adriannom,Adrianny,Adriannami,Adriannach,Adrianny,Adrianny,Adriann,Adriannom,Adrianny,Adriannami,Adriannach,Adrianny
12,Agata,f,s,Agata,Agaty,Agacie,Agatę,Agatą,Agacie,Agato,Agata,Agaty,Agacie,Agatę,Agatą,Agacie,Agato
13,Agata,f,pl,Agaty,Agat,Agatom,Agaty,Agatami,Agatach,Agaty,Agaty,Agat,Agatom,Agaty,Agatami,Agatach,Agaty
14,Agnieszka,f,s,Agnieszka,Agnieszki,Agnieszce,Agnieszkę,Agnieszką,Agnieszce,Agnieszko,Agnieszka,Agnieszki,Agnieszce,Agnieszkę,Agnieszką,Agnieszce,Agnieszko
15,Agnieszka,f,pl,Agnieszki,Agnieszek,Agnieszkom,Agnieszki,Agnieszkami,Agnieszkach,Agnieszki,Agnieszki,Agnieszek,Agnieszkom,Agnieszki,Agnieszkami,Agnieszkach,Agnieszki
16,Aida,f,s,Aida,Aidy,Aidzie,Aidę,Aidą,Aidzie,Aido,Aida,Aidy,Aidzie,Aidę,Aidą,Aidzie,Aido
17,Alana,f,s,Alana,Alany,Alanie,Alanę,Alaną,Alanie,Alano,Alana,Alany,Alanie,Alanę,Alaną,Alanie,Alano
18,Alberta,f,s,Alberta,Alberty,Albercie,Albertę,Albertą,Albercie,Alberto,Alberta,Alberty,Albercie,Albertę,Albertą,Albercie,Alberto
19,Albertyna,f,s,Albertyna,Albertyny,Albertynie,Albertynę,Albertyną,Albertynie,Albertyno,Albertyna,Albertyny,Albertynie,Albertynę,Albertyną,Albertynie,Albertyno
20,Albina,f,s,Albina,Albiny,Albinie,Albinę,Albiną,Albinie,Albino,Albina,Albiny,Albinie,Albinę,Albiną,Albinie,Albino
21,Aldona,f,s,Aldona,Aldony,Aldonie,Aldonę,Aldoną,Aldonie,Aldono,Aldona,Aldony,Aldonie,Aldonę,Aldoną,Aldonie,Aldono
22,Aldona,f,pl,Aldony,Aldon,Aldonom,Aldony,Aldonami,Aldonach,Aldony,Aldony,Aldon,Aldonom,Aldony,Aldonami,Aldonach,Aldony
23,Aleksa,f,s,Aleksa,Aleksy,Aleksie,Aleksę,Aleksą,Aleksaju,Alekso,Aleksa,Aleksy,Aleksie,Aleksę,Aleksą,Aleksaju,Alekso
24,Aleksandra,f,s,Aleksandra,Aleksandry,Aleksandrze,Aleksandrę,Aleksandrą,Aleksandrze,Aleksandro,Aleksandra,Aleksandry,Aleksandrze,Aleksandrę,Aleksandrą,Aleksandrze,Aleksandro
25,Aleksandra,f,pl,Aleksandry,Aleksander,Aleksandrom,Aleksandry,Aleksandrami,Aleksandrach,Aleksandry,Aleksandry,Aleksander,Aleksandrom,Aleksandry,Aleksandrami,Aleksandrach,Aleksandry
26,Aleksja,f,s,Aleksja,Aleksji,Aleksji,Aleksję,Aleksją,Aleksji,Aleksjo,Aleksja,Aleksji,Aleksji,Aleksję,Aleksją,Aleksji,Aleksjo
27,Aleksja,f,pl,Aleksje,Aleksji,Aleksjom,Aleksje,Aleksjami,Aleksjach,Aleksje,Aleksje,Aleksji,Aleksjom,Aleksje,Aleksjami,Aleksjach,Aleksje
28,Alesja,f,s,Alesja,Alesji,Alesji,Alesję,Alesją,Alesjie,Alesjo,Alesja,Alesji,Alesji,Alesję,Alesją,Alesjie,Alesjo
29,Alfreda,f,s,Alfreda,Alfredy,Alfredzie,Alfredę,Alfredą,Alfredzie,Alfredo,Alfreda,Alfredy,Alfredzie,Alfredę,Alfredą,Alfredzie,Alfredo
30,Alfreda,f,pl,Alfredy,Alfred,Alfredom,Alfredy,Alfredami,Alfredach,Alfredy,Alfredy,Alfred,Alfredom,Alfredy,Alfredami,Alfredach,Alfredy
31,Alia,f,s,Alia,Alii,Alii,Alię,Alią,Ali,Alio,Alia,Alii,Alii,Alię,Alią,Ali,Alio
32,Alicja,f,s,Alicja,Alicji,Alicji,Alicję,Alicją,Alicji,Alicjo,Alicja,Alicji,Alicji,Alicję,Alicją,Alicji,Alicjo
33,Alicja,f,pl,Alicje,Alicji,Alicjom,Alicje,Alicjami,Alicjach,Alicje,Alicje,Alicji,Alicjom,Alicje,Alicjami,Alicjach,Alicje
34,Alina,f,s,Alina,Aliny,Alinie,Alinę,Aliną,Alinie,Alino,Alina,Aliny,Alinie,Alinę,Aliną,Alinie,Alino
35,Alina,f,pl,Aliny,Alin,Alinom,Aliny,Alinami,Alinach,Aliny,Aliny,Alin,Alinom,Aliny,Alinami,Alinach,Aliny
36,Alisa,f,s,Alisa,Alisa,Alisie,Alisę,Alisą,Alisie,Aliso,Alisa,Alisa,Alisie,Alisę,Alisą,Alisie,Aliso
37,Alojza,f,s,Alojza,Alojzy,Alojzie,Alojzę,Alojzą,Alojzie,Alojzo,Alojza,Alojzy,Alojzie,Alojzę,Alojzą,Alojzie,Alojzo
38,Amalia,f,s,Amalia,Amalii,Amalii,Amalię,Amalią,Amalii,Amalio,Amalia,Amalii,Amalii,Amalię,Amalią,Amalii,Amalio
39,Amalia,f,pl,Amalie,Amalii,Amaliom,Amalie,Amaliami,Amaliach,Amalie,Amalie,Amalii,Amaliom,Amalie,Amaliami,Amaliach,Amalie
40,Amanda,f,s,Amanda,Amandy,Amandzie,Amandę,Amandą,Amandzie,Amando,Amanda,Amandy,Amandzie,Amandę,Amandą,Amandzie,Amando
41,Amanda,f,pl,Amandy,Amand,Amandom,Amandy,Amandami,Amandach,Amandy,Amandy,Amand,Amandom,Amandy,Amandami,Amandach,Amandy
42,Amelia,f,s,Amelia,Amelii,Amelii,Amelię,Amelią,Amelii,Amelio,Amelia,Amelii,Amelii,Amelię,Amelią,Amelii,Amelio
